Authors,Title,Reject,Year,Source,Publisher,ArticleURL
"S Parent, M Baron",Émergence des «learning analytics» en éducation: quelques défis et enjeux de l'analyse de l'apprentissage,1,2021,… Canadienne de l'Apprentissage et de …,hal.archives-ouvertes.fr,https://hal.archives-ouvertes.fr/hal-03410062/
"M Perez-Ortiz, C Dormann, Y Rogers, ...",X5learn: A personalised learning companion at the intersection of ai and hci,1,2021,… on Intelligent User …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3397482.3450721
"K Mangaroska, R Martinez‐Maldonado, ...",Challenges and opportunities of multimodal data in human learning: The computer science students' perspective,1,2021,Journal of Computer …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/jcal.12542
"A Barana, M Marchisio",Analyzing interactions in automatic formative assessment activities for mathematics in digital learning environments,1,2021,,repositorio.grial.eu,https://repositorio.grial.eu/handle/grial/2241
"E Jensen, S L. Pugh, S K. D'Mello",A deep transfer learning approach to modeling teacher discourse in the classroom,1,2021,… 11th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448168
K Ndenge,Investigating a learning analytics interface for automatically marked programming assessments,1,2021,,open.uct.ac.za,https://open.uct.ac.za/handle/11427/36023
"LV Guillain, B Schneider",Facilitators First: Building a Tool With Facilitators to Foster a More Collaborative Makerspace Community Through Movement Traces,1,2021,LAK21: 11th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448194
"YJ Kim, G Lin, JA Ruipérez-Valiente",Expanding Teacher Assessment Literacy with the Use of Data Visualizations in Game-Based Assessment,1,2021,… Dashboards for Learning Analytics,Springer,https://link.springer.com/chapter/10.1007/978-3-030-81222-5_18
"J Velander, N Otero, TC Pargman, M Milrad",We Know What You Were Doing,1,2021,… for Learning Analytics,Springer,https://link.springer.com/chapter/10.1007/978-3-030-81222-5_15
"K Mangaroska, B Vesin, V Kostakos, ...",Architecting analytics across multiple e-learning systems to enhance learning design,1,2021,IEEE Transactions …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9399793/
B Williamson,"Automated Knowledge Discovery: Tracing the Frontiers, Infrastructures, and Practices of Education and Data Science",1,2021,Digital Disruption In Teaching And Testing,library.oapen.org,https://library.oapen.org/bitstream/handle/20.500.12657/56671/9781000377378.pdf?sequence=1#page=74
A Liaqat,Intersectional Approaches for Supporting Casual Language and Culture Learning in Immigrant Families,1,2021,Companion Publication of the 2021 Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3462204.3481791
"S Sechin Matoori, N Nourafza",Big Data Analytics and Cognitive Computing: A Review Study,1,2021,Journal of Business Data Science …,jbdsr.com,http://www.jbdsr.com/article_680446.html
"Y Zhang, R An, J Cui, X Shang",Undergraduate grade prediction in chinese higher education using convolutional neural networks,1,2021,… : 11th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448184
"Q Li, Y Jung, AF Wise, S Sommer, ...",Designing Analytics to Support Team Learning,1,2021,Perspectives on Digitally …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77614-5_8
"JAR Ramírez, ...",Use of Multimodal Data Value Chain as a Contribution to the Management of the Teaching-Learning Process in Higher Education Institutions,1,2021,2021 Machine Learning …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9733752/
"H Kyriacou, A Ramakrishnan, J Whitehill",Learning to Work in a Materials Recovery Facility: Can Humans and Machines Learn from Each Other?,1,2021,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448183
"D Schlotterbeck, P Uribe, R Araya, A Jimenez, ...",What classroom audio tells about teaching: a cost-effective approach for detection of teaching practices using spectral audio features,1,2021,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448152
S Jagannathan,From Concepts to Action: How to Accelerate Digital Learning to Achieve SDGs–Influencer Viewpoints,1,2021,Reimagining Digital Learning for Sustainable …,taylorfrancis.com,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003089698-34/concepts-action-sheila-jagannathan
"A Betts, KP Thai, S Gunderia",Personalized Mastery Learning Ecosystems: Using Bloom's Four Objects of Change to Drive Learning in Adaptive Instructional Systems,1,2021,International Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-77857-6_3
WK Chiu,Pedagogy of emerging technologies in chemical education during the era of digitalization and artificial intelligence: A systematic review,1,2021,Education Sciences,mdpi.com,https://www.mdpi.com/1344002
"F Salehian Kia, M Hatala, RS Baker, ...",Measuring students' self-regulatory phases in LMS with behavior and real-time self report,1,2021,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448164
"A Dengel, L Devillers, LM Schaal",Augmented human and human-machine co-evolution: efficiency and ethics,1,2021,Reflections on Artificial Intelligence for …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-69128-8_13
"A Gurung, AF Botelho, NT Heffernan",Examining Student Effort on Help through Response Time Decomposition,1,2021,… International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448167
N Nur,"Developing Temporal Machine Learning Approaches to Support Modeling, Explaining, and Sensemaking of Academic Success and Risk of Undergraduate Students",1,2021,,search.proquest.com,https://search.proquest.com/openview/e779934e12b882fa6d7970c0fb5053d0/1?pq-origsite=gscholar&cbl=18750&diss=y
"A Kulkarni, O Gkountouna",Demonstrating REACT: a Real-time Educational AI-powered Classroom Tool,1,2021,arXiv preprint arXiv:2108.07693,arxiv.org,https://arxiv.org/abs/2108.07693
M Worwood,Four steps to promote teacher creativity when making the transition to virtual learning experiences,1,2021,Handbook of Research on Transforming Teachers' …,igi-global.com,https://www.igi-global.com/chapter/four-steps-to-promote-teacher-creativity-when-making-the-transition-to-virtual-learning-experiences/284521
"J Gong, T Han, S Guo, J Li, S Zha, L Zhang, ...",HoloBoard: a Large-format Immersive Teaching Board based on pseudo HoloGraphics,1,2021,The 34th Annual ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3472749.3474761
"T Effenberger, R Pelánek",Validity and reliability of student models for problem-solving activities,1,2021,LAK21: 11th International Learning Analytics …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448140
G Cosentino,Exploring Multi-Sensory Interaction to Enhance Children'Learning Experience,1,2021,Interaction Design and Children,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3459990.3463397
"D Williams-Dobosz, RFL Azevedo, A Jeng, ...",A Social Network Analysis of Online Engagement for College Students Traditionally Underrepresented in STEM,1,2021,… Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448159
"BC e Silva, E Ly, F Poszler, GR Marvez, ...",Policy Paper,1,2021,,hiig.de,https://www.hiig.de/wp-content/uploads/2021/11/AI-Policy-Research-Clinic-Policy-Paper.pdf
H Niemi,AI in learning: Preparing grounds for future learning,1,2021,Journal of Pacific Rim Psychology,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/18344909211038105
"J Buchholz, JE Russell, V Cichella, ...",A Curriculum on Naval Science & Technology for a Midwestern University,1,2021,2021 ASEE Virtual …,peer.asee.org,https://peer.asee.org/a-curriculum-on-naval-science-technology-for-a-midwestern-university
"F Cassola, M Pinto, D Mendes, ...",A novel tool for immersive authoring of experiential learning in virtual reality,1,2021,… IEEE Conference on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9419130/
"C Millet, J Resig",Data-informed design for online course improvement,1,2021,A Practitioner's Guide to Instructional Design in …,edtechbooks.org,https://edtechbooks.org/id_highered/data_informed_design?book_nav=true
"A DOMARADZKA, A WNUK",Stream B: Digitalization of Society,1,2021,Book of Abstracts,sts-conference.isds.tugraz.at,https://sts-conference.isds.tugraz.at/event/14/attachments/11/71/BoA_STS_Conference_Graz_2021.pdf#page=30
"A Bozkurt, A Karadeniz, D Baneres, ...",Artificial intelligence and reflections from educational landscape: a review of AI studies in half a century,1,2021,Sustainability,mdpi.com,https://www.mdpi.com/961776
R O'Donnell,Transformative Digital Technology for Effective Workplace Learning,1,2021,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.1201/9781003149132/transformative-digital-technology-effective-workplace-learning-ria-donnell
"S Abdi, H Khosravi, S Sadiq",Modelling learners in adaptive educational systems: A multivariate Glicko-based approach,1,2021,… : 11th International Learning Analytics and …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3448139.3448189
S Bosch,Designing and Implementing a Descriptive User Dashboard as a Basis for Reflective Learning,1,2021,,mi.fu-berlin.de,https://www.mi.fu-berlin.de/en/inf/groups/hcc/theses/finished/2021-Theses/designing_and_implementing_a_descriptive_user_dashboard/2021_BA_Bosch.pdf
"W Xu, F Ouyang",A systematic review of AI role in the educational system based on a proposed conceptual framework,1,2021,Education and Information Technologies,Springer,https://link.springer.com/article/10.1007/s10639-021-10774-y
A Renz,KI in der Bildung: Educational Technology und KI,1,2021,Arbeitswelt und KI 2030,Springer,https://link.springer.com/chapter/10.1007/978-3-658-35779-5_39
"D Bañeres Besora, AE Guerrero Roldán, ...",A Predictive Analytics Infrastructure to Support a Trustworthy Early Warning System,1,2021,,Applied Sciences,
"Z Al-Khanjari, I Al-Kindi",Proposing A Systematic Framework for SQU-Smart Learning Management System (SQU-SLMS),1,2021,International Journal of Computing and …,journal.uob.edu.bh,https://journal.uob.edu.bh/handle/123456789/4144
S Oviatt,Technology as infrastructure for dehumanization: three hundred million people with the same face,1,2021,Proceedings of the 2021 International Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3462244.3482855
"D Olivares, C Hundhausen, N Ray",Designing IDE Interventions to Promote Social Interaction and Improved Programming Outcomes in Early Computing Courses,1,2021,ACM Transactions on Computing …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3453165
"JG Hernández-Calderón, V Soto-Mendoza, ...",Designing an information visualization dashboard to proctor test-takers during language certification online testing,1,2021,… Mexican Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3492724.3492731
"J Zhu, MS El-Nasr",Open player modeling: Empowering players through data transparency,1,2021,arXiv preprint arXiv:2110.05810,arxiv.org,https://arxiv.org/abs/2110.05810
"M Barz, S Kapp, J Kuhn, D Sonntag",Automatic recognition and augmentation of attended objects in real-time using eye tracking and a head-mounted display,1,2021,ACM Symposium on Eye Tracking …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3450341.3458766
"AG Chakarov, J Bush, QL Biddy, J Jacobs, ...",Supporting Teachers to Implement Engineering Design Challenges using Sensor Technologies in a Remote Classroom Environment,1,2021,2021 ASEE Virtual …,peer.asee.org,https://peer.asee.org/supporting-teachers-to-implement-engineering-design-challenges-using-sensor-technologies-in-a-remote-classroom-environment
"X Ge, L Leifer, L Shui",A New Mixed-methods Study of Learning-at-disturbance in Experienced Designers,1,2021,… of the 15th International Conference of …,repository.isls.org,https://repository.isls.org/handle/1/7482
